"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.47494003601777,0.417790782603497,8.3174167088211,8.99012299412118e-17
"clase2",-1.07954916548212,0.285996201920519,-3.77469755973239,0.000160201905757196
"clase3",-2.28007833154584,0.280024511627205,-8.14242409814926,3.87441385703462e-16
"sexomale",-2.60485871468849,0.187647248469711,-13.8816781803702,8.18059272438981e-44
"edad",-0.0330217462888222,0.00741459088089908,-4.45361676985987,8.44357531128271e-06
"precio_ticket",0.000719765626900372,0.00210016500805002,0.342718607414885,0.731810162909396
